WORDCOUNTS,WEIGHT
the,185
of,160
and,125
to,59
a,55
in,54
course,46
is,38
for,34
this,31
be,26
should,25
that,23
with,21
public,20
or,18
speaking,17
work,17
class,16
as,16
on,16
hours,15
study,14
by,14
i,14
student,14
given,13
it,12
college,12
one,12
each,12
reading,12
which,12
an,12
oratory,11
not,11
are,11
week,11
lectures,11
semester,10
elocution,10
principles,10
required,10
we,10
criticism,9
all,9
two,9
give,9
literature,9
dramatic,9
some,8
courses,8
practical,7
expression,7
english,7
interpretation,7
s,7
teachers,7
let,7
original,7
year,7
vocal,7
have,7
requires,7
drill,6
university,6
interpretative,6
but,6
members,6
other,6
credit,6
students,6
offer,6
present,6
at,5
he,5
me,5
various,5
who,5
make,5
analysis,5
from,5
these,5
only,5
power,5
speeches,5
time,5
studied,5
great,5
shakespeare,5
upon,5
say,5
its,5
subject,5
whole,5
recitations,5
debate,5
entire,5
much,5
than,5
may,4
will,4
action,4
selections,4
play,4
thought,4
us,4
history,4
into,4
orations,4
member,4
parliamentary,4
oral,4
many,4
method,4
drama,4
scenes,4
research,4
take,4
there,4
those,4
shall,4
style,4
number,4
part,4
through,4
purpose,4
three,4
hour,4
full,4
preparation,4
oratorical,4
instructor,4
methods,4
can,4
prescribed,3
assigned,3
done,3
no,3
his,3
plays,3
faults,3
limited,3
basic,3
appreciation,3
connected,3
deals,3
their,3
life,3
special,3
kinds,3
collateral,3
modern,3
under,3
then,3
reports,3
additional,3
technique,3
colleges,3
had,3
together,3
recitation,3
very,3
debates,3
seminar,3
practice,3
gives,3
day,3
voice,3
art,3
ohio,3
training,3
knowledge,3
actional,3
giving,3
has,3
broad,3
our,3
due,3
conditions,3
charge,3
would,3
him,3
standard,3
individual,3
forensic,3
offered,3
forms,3
rendition,3
rhetorical,3
am,3
thorough,3
culmination,2
phases,2
schools,2
now,2
undergraduate,2
essential,2
indicated,2
been,2
main,2
success,2
force,2
often,2
elaborated,2
construction,2
designed,2
argumentation,2
hope,2
yet,2
ancient,2
school,2
literary,2
branch,2
any,2
culture,2
same,2
expressional,2
topical,2
first,2
more,2
name,2
thesis,2
expressive,2
orators,2
others,2
postgraduate,2
view,2
constructive,2
advanced,2
greater,2
nature,2
deliberative,2
best,2
bearing,2
leading,2
societies,2
could,2
plot,2
speech,2
foundation,2
out,2
composition,2
man,2
past,2
merely,2
imitation,2
investigation,2
form,2
meet,2
add,2
find,2
characters,2
technical,2
such,2
failure,2
having,2
development,2
ideal,2
degrees,2
abstracts,2
bodies,2
careful,2
instruction,2
appointed,2
questions,2
continue,2
prepared,2
throughout,2
named,2
theoretical,2
pedagogic,2
national,2
language,2
accept,2
mastered,2
general,2
least,2
order,2
after,2
wesleyan,2
elements,2
needs,2
especially,2
intercollegiate,2
six,2
structure,2
occasions,2
when,2
universities,2
journal,2
normal,2
close,2
memoriter,2
courts,1
frequent,1
dealing,1
higher,1
boards,1
defeats,1
consists,1
wishes,1
recognized,1
aid,1
faculties,1
io,1
demand,1
grammar,1
instructors,1
diligent,1
without,1
clearness,1
independent,1
representing,1
heroic,1
science,1
if,1
scientific,1
aim,1
develops,1
extempore,1
indeed,1
turns,1
extemporization,1
accessories,1
pieces,1
foregoing,1
presentation,1
worthy,1
gaining,1
didactic,1
prove,1
alone,1
translation,1
measures,1
judgment,1
succession,1
itself,1
starts,1
philosophy,1
passing,1
they,1
speakers,1
gesture,1
discourse,1
suppose,1
hold,1
volumes,1
selection,1
applicants,1
ample,1
arts,1
distant,1
deductive,1
grade,1
word,1
meritorious,1
duplicate,1
muscles,1
centuries,1
making,1
twenty,1
represents,1
unusual,1
read,1
maintaining,1
satisfied,1
message,1
copies,1
rostrum,1
consider,1
dramatization,1
improvement,1
motions,1
was,1
character,1
management,1
organized,1
laid,1
thinking,1
liberal,1
before,1
section,1
proposed,1
following,1
teaching,1
attain,1
completion,1
record,1
germane,1
conclusion,1
contest,1
respiration,1
deliver,1
excellence,1
reviewed,1
conjunction,1
assemblies,1
must,1
leads,1
educational,1
show,1
debaters,1
department,1
congresses,1
ethics,1
committees,1
opportunity,1
readings,1
delivery,1
sources,1
critiques,1
also,1
production,1
mainstay,1
destructive,1
exaggerated,1
set,1
taken,1
important,1
pity,1
feeling,1
hire,1
branches,1
over,1
state,1
qualities,1
degree,1
usually,1
warrants,1
paper,1
legislative,1
persuasion,1
novel,1
fact,1
lack,1
whom,1
seriously,1
connection,1
introduce,1
treatment,1
fundamental,1
stimulus,1
abilities,1
declined,1
down,1
deduction,1
train,1
viewpoint,1
plan,1
agree,1
afraid,1
abstract,1
emphasis,1
reasoning,1
twentyfive,1
rebuttal,1
criticisms,1
procedure,1
requirements,1
while,1
specialize,1
doubt,1
primary,1
ago,1
succeeding,1
dramas,1
closest,1
achieved,1
poetry,1
audiences,1
representative,1
works,1
rhetoric,1
better,1
never,1
consist,1
mind,1
written,1
dreary,1
further,1
alert,1
fullest,1
stand,1
hand,1
inductive,1
equally,1
principal,1
robert,1
founder,1
cultural,1
discuss,1
manner,1
somewhat,1
pitch,1
what,1
wishing,1
parliaments,1
fuller,1
deportment,1
differing,1
them,1
whether,1
furnishes,1
selected,1
less,1
see,1
eminently,1
applied,1
council,1
sightreading,1
cause,1
particular,1
necessary,1
placed,1
ignorance,1
textbook,1
narrative,1
nominations,1
adaptation,1
necessities,1
save,1
wide,1
formulation,1
prepare,1
near,1
sought,1
memory,1
pursued,1
addresses,1
well,1
instructional,1
almost,1
lends,1
line,1
mapped,1
illustrate,1
realize,1
object,1
panegyric,1
acquirement,1
rendered,1
even,1
level,1
owner,1
clear,1
mastery,1
coach,1
extracts,1
four,1
story,1
grows,1
far,1
previously,1
conception,1
laws,1
content,1
triune,1
end,1
november,1
convinced,1
thoughts,1
positions,1
experience,1
intended,1
criticized,1
use,1
events,1
genuine,1
unfortunately,1
culpable,1
guidance,1
approach,1
corresponding,1
revelations,1
isolated,1
usage,1
think,1
actual,1
business,1
refutation,1
thus,1
irving,1
examination,1
cowardice,1
illustrative,1
search,1
legislation,1
formation,1
theories,1
systematic,1
contribution,1
showing,1
recitationists,1
unable,1
president,1
years,1
quality,1
universally,1
pursue,1
own,1
professor,1
impersonations,1
illinois,1
incident,1
costumes,1
essay,1
logic,1
preceded,1
wish,1
unfit,1
pedagogy,1
allowed,1
judges,1
correct,1
perchance,1
presented,1
field,1
so,1
stage,1
high,1
term,1
incidents,1
regular,1
next,1
you,1
held,1
profitably,1
kind,1
standpoint,1
presenting,1
sake,1
nor,1
involved,1
latter,1
blame,1
decide,1
legislatures,1
few,1
problems,1
subjects,1
strive,1
inspirational,1
elaborate,1
parallel,1
bibleand,1
notation,1
wholly,1
themselves,1
allowing,1
suitable,1
choosing,1
poem,1
usual,1
languages,1
single,1
chicago,1
diploma,1
profit,1
presiding,1
early,1
x,1
seeking,1
up,1
including,1
application,1
fulton,1
commemorative,1
results,1
world,1
conventions,1
resolutions,1
strong,1
organs,1
whenever,1
digest,1
furnish,1
observed,1
dramatists,1
abstracted,1
value,1
evidence,1
building,1
bills,1
meeting,1
enrich,1
aggregate,1
settle,1
master,1
incentive,1
decision,1
